cabang,latitude_cabang,longitude_cabang,lama_beroperasi_bulan,Omset Jan25,Omset Jan26,Persen Growth,Kategori_By_StdDev,Kategori_Percentile,Kategori_KPI_Atasan,Kategori_ZScore,Kategori_IQR
BR-0001,-5.46372877,112.4766895,39,55543106.09,98806868.91,77.89,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0002,-6.416196452,109.3000137,57,109025764.4,155606071.7,42.72,Sedang,Tengah,Baik,Normal,Normal
BR-0003,-5.237267193,106.0335215,81,63761600.23,49742834.56,-21.99,Sedang,Bawah,Kurang,Normal,Normal
BR-0004,-3.924255215,100.5970857,34,50000000,87251257.05,74.5,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0005,-6.560030062,112.5729564,41,63627563.94,118108399.9,85.62,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0006,-6.560005435,103.3716688,93,182536974.4,449191129,146.08,Sedang,Atas,Sangat Baik,Normal,Extreme High
BR-0007,-3.839980777,102.7321031,73,138743162.4,104140948.8,-24.94,Sedang,Bawah,Kurang,Normal,Normal
BR-0008,-5.057647906,109.4020261,13,63262139.4,82060661.59,29.72,Sedang,Tengah,Baik,Normal,Normal
BR-0009,-6.913011579,112.944981,70,116205364.4,42666021.86,-63.28,Sedang,Bawah,Kurang,Normal,Normal
BR-0010,-5.394959935,110.306282,6,52698407.13,74898120.33,42.13,Sedang,Tengah,Baik,Normal,Normal
BR-0011,-6.903926539,108.2553728,84,50000000,49035994.04,-1.93,Sedang,Tengah,Kurang,Normal,Normal
BR-0012,-6.90739463,108.3324859,52,50000000,98468915.9,96.94,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0013,-5.845856593,108.9791389,117,167707720.1,149285699.9,-10.98,Sedang,Bawah,Kurang,Normal,Normal
BR-0014,-9.078720367,108.7429215,3,55706319.3,29208315.29,-47.57,Sedang,Bawah,Kurang,Normal,Normal
BR-0015,-8.796176749,107.5485786,81,56738843.94,57391028.79,1.15,Sedang,Tengah,Cukup,Normal,Normal
BR-0016,-7.052231294,107.1061028,63,54849140.92,22477446.24,-59.02,Sedang,Bawah,Kurang,Normal,Normal
BR-0017,-7.728046681,106.6891172,49,205813701.1,308811064.7,50.04,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0018,-5.737429001,104.9606885,76,174175740.3,65135941.02,-62.6,Sedang,Bawah,Kurang,Normal,Normal
BR-0019,-7.570836113,106.1439123,112,248578224.4,301123443.2,21.14,Sedang,Tengah,Baik,Normal,Normal
BR-0020,-8.327255552,102.613208,47,59683900.81,22015915.15,-63.11,Sedang,Bawah,Kurang,Normal,Normal
BR-0021,-4.010326847,106.5997509,109,78403152.36,84038839.81,7.19,Sedang,Tengah,Cukup,Normal,Normal
BR-0022,-6.547464451,104.3741222,55,50000000,76200230.89,52.4,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0023,-6.107507693,104.0866267,64,159277839.9,214110694.7,34.43,Sedang,Tengah,Baik,Normal,Normal
BR-0024,-8.345922279,107.2953354,65,50000000,42730127.9,-14.54,Sedang,Bawah,Kurang,Normal,Normal
BR-0025,-7.025374087,110.3256057,81,74780322.36,88803024.05,18.75,Sedang,Tengah,Baik,Normal,Normal
BR-0026,-6.042416115,109.1413915,67,50000000,60360337.44,20.72,Sedang,Tengah,Baik,Normal,Normal
BR-0027,-7.935290366,102.9193485,90,50000000,69452606.92,38.91,Sedang,Tengah,Baik,Normal,Normal
BR-0028,-5.645252972,104.3715297,15,50000000,32662832.73,-34.67,Sedang,Bawah,Kurang,Normal,Normal
BR-0029,-7.109758035,109.197528,100,50000000,71851345.48,43.7,Sedang,Tengah,Baik,Normal,Normal
BR-0030,-6.646340625,104.3893815,32,50000000,39045265.58,-21.91,Sedang,Bawah,Kurang,Normal,Normal
BR-0031,-7.111359918,106.2840171,96,50000000,47402308.95,-5.2,Sedang,Tengah,Kurang,Normal,Normal
BR-0032,-3.430382723,108.2207302,68,108255025.3,108762791.5,0.47,Sedang,Tengah,Cukup,Normal,Normal
BR-0033,-6.229045837,104.4247389,18,50000000,72666536.52,45.33,Sedang,Tengah,Baik,Normal,Normal
